CPU (%),Memory (MB),Disk (MB/s),Network (Mbps),Files Created,Files Deleted,Files Renamed,is_ransomware
22.17,3258.62,14.09,3.77,96,64,100,0
96.15,14839.93,395.97,25.11,784,447,440,1
94.38,14596.59,201.77,31.49,597,728,202,1
30.56,5894.0,13.34,0.49,82,84,3,0
41.63,4334.63,8.41,1.83,21,26,19,0
29.07,2129.73,11.62,3.21,36,52,20,0
28.11,1510.02,1.06,2.91,90,34,42,0
62.55,696.56,6.37,1.21,42,20,36,0
85.12,10497.44,209.49,67.09,479,826,180,1
25.91,670.82,3.63,4.28,87,46,31,0
1.25,4515.3,3.99,3.18,12,48,21,0
18.71,3866.47,4.94,4.68,45,43,14,0
23.88,3130.88,7.1,3.54,71,79,83,0
6.96,1953.83,0.07,1.96,47,33,42,0
94.78,6225.24,412.21,28.74,347,235,591,1
53.73,1971.55,13.42,3.08,62,79,37,0
71.88,13450.78,205.65,76.72,951,202,854,1
75.56,11961.28,57.06,60.88,597,258,564,1
13.82,4724.89,0.54,1.41,17,21,53,0
17.19,5887.51,3.4,3.57,69,53,69,0
78.97,6375.09,194.71,44.86,195,251,653,1
84.18,13384.5,195.93,48.05,555,144,759,1
27.43,2789.12,9.64,2.16,27,77,95,0
48.86,461.94,11.81,4.32,25,69,69,0
87.19,7162.26,430.0,61.12,502,176,285,1
72.27,8723.39,84.29,86.17,469,356,159,1
40.69,4272.76,5.1,1.38,37,26,37,0
34.23,5002.8,3.8,4.87,52,94,13,0
78.68,9582.11,436.68,95.19,834,326,642,1
30.42,2894.73,7.68,4.48,74,58,46,0
29.38,3502.23,10.73,1.69,36,87,54,0
50.86,5142.99,12.51,2.7,99,41,19,0
90.81,14132.18,68.45,46.49,675,459,644,1
90.42,14853.38,334.15,47.17,940,891,343,1
74.0,6463.36,262.64,12.15,579,854,832,1
92.87,9554.97,126.73,50.81,632,605,250,1
35.66,2562.5,13.12,4.64,4,13,86,0
73.53,8385.02,165.98,28.93,833,272,327,1
86.04,8273.53,114.06,97.14,324,872,985,1
42.93,3194.21,12.58,4.7,50,67,74,0
99.87,7099.08,337.71,86.77,471,292,286,1
39.24,4077.43,5.55,4.76,23,23,2,0
71.48,15311.0,201.83,85.03,576,420,101,1
94.41,10641.3,499.69,16.88,462,842,554,1
28.02,189.4,8.31,3.95,22,5,11,0
21.19,3048.82,12.73,3.01,29,68,63,0
90.54,11864.81,218.15,89.83,674,637,533,1
73.73,13226.45,131.42,87.81,489,296,970,1
25.77,4309.55,12.75,1.77,70,26,84,0
76.22,8141.46,495.09,15.12,980,360,446,1
84.21,14197.11,42.17,68.72,544,229,717,1
40.22,5441.96,7.39,1.34,89,5,50,0
79.72,8502.34,206.35,99.07,631,170,628,1
86.12,10124.82,164.35,29.62,343,620,537,1
77.87,9883.88,133.22,34.27,894,529,385,1
37.62,3035.32,14.26,0.56,82,5,0,0
69.85,5256.96,9.41,2.31,86,94,13,0
15.67,1703.19,5.97,0.58,47,77,22,0
93.44,6889.41,457.1,90.38,852,424,337,1
85.22,13420.63,415.98,54.59,998,177,836,1
84.07,6978.7,413.54,26.88,619,655,289,1
56.71,3015.97,12.55,0.81,22,16,44,0
79.33,11786.9,479.82,50.72,237,544,181,1
83.67,6099.5,395.9,93.88,746,730,913,1
66.67,2046.65,12.41,4.8,22,25,99,0
87.14,9290.32,410.82,67.32,982,389,727,1
24.75,5656.61,7.73,0.75,98,66,87,0
95.85,11385.78,405.24,18.45,786,313,319,1
80.2,11874.78,295.83,27.02,307,212,709,1
85.59,7311.2,96.31,6.51,932,461,491,1
18.81,2152.63,8.45,2.83,42,74,35,0
96.65,10574.16,222.75,5.25,677,546,899,1
17.78,5013.56,4.59,1.5,84,39,71,0
58.1,1661.87,9.09,2.17,88,10,21,0
68.16,3019.88,12.09,0.02,0,95,46,0
28.4,2926.68,7.86,0.92,23,85,45,0
10.24,5045.76,7.52,3.32,88,22,34,0
53.23,3907.62,14.93,0.01,66,84,96,0
90.8,10032.05,364.84,19.32,514,503,887,1
54.96,2186.87,8.06,3.79,56,27,94,0
44.65,4394.7,0.64,3.82,41,30,45,0
89.51,10785.24,75.66,44.08,819,651,946,1
95.11,8015.51,206.86,68.86,512,785,319,1
84.29,10557.16,358.45,18.28,188,682,131,1
51.64,1456.56,9.85,4.39,21,63,73,0
97.36,14057.44,200.51,75.8,681,143,291,1
46.34,3611.18,3.12,4.48,17,45,16,0
34.52,359.01,11.23,3.0,27,35,19,0
8.69,734.02,4.69,3.6,59,30,63,0
36.29,3221.91,13.77,4.64,93,41,47,0
15.07,2758.78,7.26,3.16,1,0,33,0
96.13,12302.55,452.27,7.79,292,682,906,1
92.14,9470.63,488.32,18.31,761,604,400,1
77.91,15513.62,478.08,86.64,136,829,680,1
60.29,4824.8,14.0,4.79,5,98,86,0
99.44,6865.29,137.74,95.31,949,492,600,1
73.02,13286.87,434.36,44.35,922,322,265,1
94.84,14239.29,116.59,96.89,743,258,117,1
88.79,14538.42,165.63,21.25,411,767,522,1
5.73,5184.65,6.54,2.0,49,70,55,0
77.46,8253.63,49.98,20.36,612,697,361,1
46.57,488.84,10.14,0.02,16,61,71,0
81.7,11017.06,218.35,99.71,406,980,251,1
73.76,15296.14,126.05,57.75,453,536,137,1
77.74,7054.98,299.9,81.02,775,470,293,1
53.35,4248.62,3.64,2.85,36,63,37,0
2.98,1492.9,12.83,3.6,4,3,82,0
46.79,3576.39,0.25,2.46,25,35,19,0
84.4,10211.08,84.91,77.4,101,371,211,1
6.42,4149.76,7.4,1.13,94,83,68,0
81.01,12697.19,461.72,48.33,685,939,495,1
57.68,3050.13,6.64,4.53,81,87,54,0
85.56,13687.3,286.64,95.76,723,583,978,1
99.66,7637.25,382.5,33.96,841,656,890,1
29.96,4095.44,11.28,3.13,52,6,24,0
43.13,2268.33,5.45,0.74,71,95,58,0
98.12,12350.46,303.69,83.54,617,435,324,1
35.26,450.05,6.37,3.34,30,67,93,0
51.31,3330.43,3.24,4.87,78,40,26,0
26.92,3262.7,10.67,2.81,43,13,56,0
68.47,5471.96,11.16,1.82,34,56,81,0
90.07,10000.02,288.24,55.82,696,904,312,1
74.98,6149.99,151.18,68.77,285,624,625,1
84.19,13245.28,105.42,75.04,339,306,587,1
4.93,4224.54,13.17,3.48,96,64,46,0
94.88,8423.72,97.43,85.45,527,284,114,1
87.43,11947.4,118.03,86.56,215,783,563,1
35.8,5374.37,6.39,3.46,6,50,62,0
53.83,1771.39,7.65,0.43,16,53,79,0
25.58,5426.8,5.4,0.75,58,96,52,0
90.78,8829.84,145.57,86.95,170,264,745,1
10.02,3465.61,1.59,1.21,97,42,0,0
96.97,7685.17,202.68,60.37,726,193,804,1
69.96,3862.78,6.34,4.79,33,96,59,0
17.62,4133.72,9.09,3.09,98,42,53,0
23.25,3814.71,10.43,2.46,23,71,42,0
71.17,12098.36,101.84,46.17,293,379,721,1
55.37,5970.02,7.32,4.92,32,49,99,0
92.78,14294.62,415.67,59.41,653,632,721,1
68.31,3068.84,4.98,4.62,26,6,21,0
77.59,6835.82,259.51,91.61,959,829,338,1
69.64,4618.66,8.11,2.49,85,0,17,0
9.97,3426.51,12.67,1.6,10,18,84,0
94.93,14092.78,220.65,88.91,926,217,587,1
11.19,2336.35,8.91,2.25,78,25,4,0
71.74,7859.04,170.28,70.94,893,468,812,1
29.98,841.91,10.82,0.77,79,61,11,0
20.74,5620.7,3.81,2.59,76,28,8,0
95.07,13093.61,70.67,40.23,973,577,174,1
73.29,8475.79,369.11,16.95,781,990,237,1
4.18,4793.09,8.08,4.63,16,86,87,0
35.36,938.16,5.62,4.44,38,48,93,0
11.12,3279.78,9.7,3.77,59,40,1,0
98.41,6166.2,171.68,90.49,828,722,156,1
69.26,5433.51,12.68,1.29,57,3,99,0
35.28,5058.91,0.15,2.16,48,54,24,0
32.14,2438.05,2.5,4.02,67,83,66,0
47.4,4037.23,14.79,3.38,24,25,9,0
55.67,490.22,5.39,0.68,33,59,2,0
95.82,14919.1,359.27,15.88,157,761,648,1
72.29,11416.35,125.07,21.73,655,398,875,1
77.64,6110.59,467.26,39.54,746,656,904,1
86.7,14772.43,448.28,69.7,393,458,564,1
90.31,6731.96,80.28,57.16,781,470,407,1
86.24,13351.18,257.86,31.36,872,875,105,1
85.71,7926.06,224.53,56.82,545,873,198,1
80.31,10890.73,424.46,68.88,148,790,264,1
32.75,2262.78,0.23,2.84,47,76,39,0
78.28,10016.17,414.13,95.25,230,713,784,1
58.24,4971.82,9.08,2.8,60,48,86,0
89.4,13773.22,386.67,23.92,941,968,899,1
56.22,4116.26,14.64,4.63,20,53,13,0
81.51,8422.04,411.77,28.37,540,703,717,1
92.63,7899.41,303.11,48.84,852,991,507,1
78.76,14314.89,113.35,67.86,810,187,574,1
52.58,460.74,8.33,0.82,30,89,93,0
4.62,1734.7,8.93,0.75,97,34,93,0
89.9,15055.16,104.85,75.55,743,194,457,1
96.9,12010.27,137.9,70.58,951,757,134,1
48.54,1943.45,10.59,1.06,80,32,38,0
35.22,5925.0,3.02,1.28,18,9,26,0
30.72,881.99,14.53,1.99,9,81,82,0
86.27,7437.65,287.94,24.1,859,687,806,1
31.07,4423.79,14.58,1.16,56,96,71,0
93.05,14302.38,155.62,56.12,568,264,479,1
30.4,1298.3,6.42,3.11,13,3,80,0
85.57,12835.78,341.85,28.56,344,439,988,1
96.53,14820.42,261.13,25.27,390,532,249,1
32.61,3676.89,0.1,4.23,40,87,21,0
85.3,7047.85,321.94,40.25,354,462,638,1
97.96,12482.49,277.39,48.19,153,803,206,1
52.04,715.44,1.33,0.28,12,25,88,0
99.49,7960.56,354.5,27.94,705,298,433,1
85.22,14062.91,324.01,80.99,621,281,347,1
0.79,3954.63,7.74,3.5,64,4,1,0
78.54,7513.3,315.59,10.67,632,458,638,1
93.17,6302.7,213.33,10.8,877,331,886,1
85.0,15844.87,125.19,98.49,364,579,226,1
75.0,6027.05,422.42,68.47,956,671,918,1
55.64,5462.42,12.71,1.16,61,8,26,0
78.9,10262.92,352.94,22.07,119,392,626,1
56.69,1894.4,7.27,1.05,78,0,56,0
99.16,14158.63,80.92,58.95,343,758,986,1
44.19,161.68,5.96,4.19,11,15,60,0
84.31,11353.1,137.36,48.21,669,509,975,1
98.04,10398.18,45.73,58.25,594,707,506,1
68.39,3340.56,10.06,2.95,36,81,64,0
90.19,11447.79,72.43,92.29,660,573,626,1
97.37,8621.4,465.99,40.61,310,180,585,1
32.01,3141.01,12.58,3.27,44,47,33,0
32.41,644.41,14.22,4.13,30,60,9,0
52.42,4390.26,0.25,0.29,94,41,94,0
84.42,9284.79,361.39,6.61,772,606,133,1
35.17,135.46,7.07,1.37,33,5,28,0
91.41,11971.47,247.79,93.91,297,755,408,1
24.2,433.84,12.71,4.01,50,5,95,0
94.57,15479.08,390.95,64.26,631,482,141,1
41.41,5856.47,7.27,0.69,76,78,52,0
18.36,1247.77,12.67,1.67,26,62,35,0
22.26,4784.18,1.4,1.4,64,51,18,0
74.16,7899.38,189.78,46.76,585,856,837,1
39.82,3.92,12.58,0.35,35,23,49,0
85.51,10487.49,360.72,36.39,489,867,170,1
82.52,11974.02,366.61,19.42,395,173,601,1
44.12,2960.64,11.02,1.52,94,19,41,0
70.61,14918.19,466.17,47.38,376,951,526,1
72.32,8485.87,295.07,25.15,952,251,118,1
93.92,7481.38,152.94,5.74,516,893,186,1
39.17,2442.97,10.33,2.6,42,68,23,0
96.48,9604.16,94.85,57.77,575,683,928,1
98.46,7274.61,369.96,25.63,120,502,527,1
99.05,8201.78,163.48,87.91,631,763,501,1
80.17,12676.07,409.12,23.23,835,944,219,1
75.29,7757.96,145.85,54.46,738,846,400,1
38.0,1299.5,0.51,0.88,1,75,17,0
48.88,1923.6,11.41,3.4,9,42,26,0
73.98,9893.36,366.41,12.64,825,159,957,1
81.43,6733.02,336.38,4.73,425,105,554,1
72.86,13673.32,344.97,32.78,372,568,861,1
82.35,7035.14,345.86,12.09,400,736,267,1
63.8,23.45,2.1,0.37,5,11,52,0
94.16,10520.39,449.89,76.94,648,173,232,1
81.42,7744.47,356.11,19.02,694,636,759,1
88.58,13448.7,78.08,38.22,406,850,726,1
79.88,7832.02,464.52,20.58,961,641,662,1
79.05,14454.06,350.84,97.69,696,911,567,1
46.58,37.96,8.04,0.4,61,62,100,0
72.34,7451.48,123.15,57.23,984,549,116,1
2.9,5101.31,13.48,0.24,73,51,14,0
32.86,3386.63,13.09,0.34,44,61,30,0
95.47,13751.73,78.43,93.82,223,915,300,1
97.32,15364.51,324.93,48.22,220,658,780,1
83.35,10677.52,77.1,82.42,128,507,953,1
28.55,4056.5,5.71,2.3,100,75,97,0
24.48,2171.86,14.0,2.86,88,82,22,0
53.33,4571.21,1.84,1.45,30,44,28,0
82.41,14030.2,435.0,78.38,637,347,628,1
85.58,13361.6,55.24,92.54,598,776,638,1
55.04,4449.14,6.33,2.16,82,68,2,0
85.58,9309.77,306.78,74.03,334,764,293,1
62.56,1048.99,4.4,2.22,90,48,27,0
11.52,3681.54,2.26,1.9,23,66,14,0
54.83,1047.53,11.94,3.81,67,96,44,0
96.46,9143.44,38.9,9.59,271,614,311,1
88.5,10582.97,314.52,60.83,116,620,809,1
91.58,6151.86,383.45,91.11,633,501,997,1
77.71,9846.57,406.92,94.72,493,717,980,1
41.48,1685.35,14.29,4.97,17,60,71,0
87.88,11795.35,273.81,82.96,783,841,510,1
21.16,4946.98,7.75,2.23,97,73,62,0
34.62,664.71,0.19,4.58,47,37,7,0
98.62,9889.35,214.29,81.57,124,651,938,1
92.28,7216.76,239.12,77.66,954,817,984,1
42.39,1909.85,7.39,1.1,68,30,91,0
85.21,10743.24,449.81,99.93,854,894,372,1
62.29,719.64,4.19,1.82,83,53,89,0
81.75,8183.04,496.59,85.04,851,365,703,1
41.1,5714.95,13.44,4.44,26,23,22,0
59.69,4854.52,3.34,1.45,17,84,75,0
37.26,1659.76,8.52,2.13,7,14,18,0
9.36,4933.86,10.0,4.11,70,13,10,0
29.95,3146.65,8.9,2.35,57,52,83,0
95.45,11733.55,459.07,66.67,936,812,313,1
95.64,7476.28,66.38,49.22,998,329,643,1
61.62,5728.35,14.83,4.31,0,13,64,0
13.78,3182.39,4.82,1.69,11,57,88,0
58.82,5308.2,14.6,1.23,1,44,63,0
97.07,15965.01,95.42,40.32,387,774,820,1
61.24,5354.26,9.23,1.5,82,34,72,0
54.12,1212.68,4.01,1.32,67,98,55,0
47.89,636.05,13.69,1.71,24,47,65,0
75.93,6285.18,25.47,72.95,552,689,906,1
1.06,4343.73,14.67,0.98,10,67,5,0
75.13,13747.05,273.34,10.27,293,267,278,1
53.52,2254.14,5.98,2.71,75,75,16,0
43.59,3892.61,4.47,0.17,14,43,86,0
81.89,9359.2,367.73,8.45,400,459,861,1
78.78,11195.65,59.1,73.85,446,426,751,1
38.76,1324.87,12.82,4.59,84,89,92,0
55.8,5002.32,6.38,1.45,43,23,96,0
88.33,7252.77,117.89,72.65,700,287,748,1
95.67,7559.37,376.8,96.74,212,661,194,1
21.21,1123.36,4.91,3.63,82,81,28,0
86.38,13049.53,393.1,53.29,917,462,299,1
82.21,6592.05,433.78,10.62,624,506,939,1
67.78,5853.31,4.92,0.2,29,26,87,0
52.39,4287.92,2.53,0.55,78,50,14,0
15.88,1217.94,14.74,0.56,2,46,64,0
83.71,13754.69,76.33,38.67,401,635,671,1
51.63,4634.95,1.87,4.85,51,39,78,0
74.26,10354.47,422.54,80.33,775,390,157,1
71.9,14165.62,180.58,5.84,244,697,728,1
40.12,1310.11,14.68,4.57,97,17,74,0
72.06,9685.21,428.44,27.68,109,672,977,1
85.97,14196.15,263.81,43.93,348,684,241,1
88.31,9681.17,156.84,26.65,272,714,763,1
35.22,894.69,0.98,0.34,11,22,51,0
57.87,3543.26,13.32,1.93,88,64,67,0
74.38,6364.93,215.37,20.45,159,903,563,1
19.67,102.89,7.12,1.17,60,17,73,0
92.22,7571.33,115.15,26.87,595,465,642,1
53.34,4787.75,13.57,1.32,32,23,24,0
95.49,15270.17,328.27,99.45,172,219,295,1
19.43,3556.72,13.18,1.87,69,85,68,0
71.55,9590.81,358.86,36.11,653,245,582,1
1.41,51.3,11.11,0.11,27,19,29,0
96.74,15556.76,20.01,39.71,416,998,389,1
78.09,12008.12,358.98,31.93,937,706,871,1
26.02,19.93,12.52,3.88,29,5,6,0
87.55,9415.22,307.52,97.91,333,422,321,1
74.31,8290.76,254.36,15.62,843,743,891,1
39.59,163.59,13.88,0.56,9,48,40,0
15.43,230.65,9.15,3.36,42,19,7,0
79.17,7828.81,398.13,77.85,729,919,720,1
90.2,15740.06,486.31,88.13,459,654,291,1
37.23,3179.43,2.72,4.14,51,57,19,0
92.49,10483.19,102.52,85.13,715,144,704,1
94.17,14826.84,238.91,38.95,954,936,236,1
70.07,6773.27,290.33,76.55,382,795,269,1
91.64,11986.1,330.39,95.11,821,793,174,1
0.72,3352.86,0.5,2.3,43,55,33,0
10.8,4195.88,10.24,3.03,14,96,8,0
87.88,8017.91,478.75,82.16,242,225,948,1
71.03,9441.4,398.59,49.98,585,238,907,1
5.68,3509.95,10.65,0.08,96,16,25,0
97.57,14414.01,373.38,72.4,584,941,288,1
14.83,1475.23,11.16,1.16,65,92,65,0
97.15,8657.81,457.04,23.36,766,799,431,1
55.95,1016.42,9.69,0.04,91,75,80,0
3.37,5957.73,10.44,3.12,21,44,11,0
94.13,10761.86,436.81,48.45,662,946,760,1
63.22,2694.49,6.66,0.74,86,77,96,0
46.94,3580.87,10.48,0.62,4,100,74,0
70.95,6354.22,207.47,81.39,678,813,453,1
59.63,4706.45,4.14,4.98,34,56,67,0
83.48,14463.95,402.69,86.95,194,619,612,1
99.66,7327.45,148.32,48.25,676,240,431,1
75.15,15605.33,269.68,94.98,104,230,165,1
73.73,8261.45,471.75,38.54,378,481,112,1
45.25,1736.0,5.12,1.21,15,4,55,0
84.3,15134.24,309.04,28.5,123,791,346,1
76.77,12739.93,175.59,86.81,708,535,935,1
67.11,1156.13,13.42,1.46,93,38,51,0
70.12,6522.9,158.75,78.0,789,124,666,1
78.97,15829.57,131.12,74.52,346,815,626,1
89.17,11188.5,109.98,92.13,957,216,594,1
71.6,14516.4,273.07,69.14,650,548,372,1
97.18,9628.24,462.37,94.2,592,697,907,1
90.99,14856.08,324.54,83.68,947,339,685,1
85.62,7811.43,224.5,26.86,275,891,919,1
67.17,4244.98,7.14,3.43,91,36,42,0
96.08,9103.55,63.2,49.93,308,228,246,1
92.08,9928.45,153.03,20.43,513,237,839,1
34.64,1491.74,9.61,2.89,17,61,17,0
71.06,12568.71,292.46,60.54,204,768,761,1
75.34,15510.14,401.51,48.47,730,786,879,1
6.68,4563.87,5.33,3.71,94,42,69,0
92.68,6340.05,337.27,7.66,336,927,734,1
35.72,2750.19,9.89,4.76,47,86,58,0
82.12,13397.64,471.23,24.91,839,704,715,1
10.91,3600.47,4.26,1.66,24,47,34,0
64.85,3047.28,14.85,2.68,10,66,54,0
77.15,6851.63,177.45,28.29,973,371,502,1
59.81,5237.27,12.45,4.67,2,83,2,0
58.89,3454.98,2.53,0.09,57,77,31,0
73.42,6494.41,137.17,64.61,318,410,861,1
97.83,8858.56,53.41,54.28,126,286,195,1
72.68,13403.49,29.19,62.95,576,355,602,1
89.67,7865.95,489.61,40.21,237,901,140,1
83.41,10081.83,134.66,8.28,645,394,467,1
81.57,15447.74,52.68,9.28,358,735,414,1
6.15,671.77,7.02,2.41,100,37,33,0
72.55,13131.45,24.6,41.17,816,996,692,1
97.02,10658.77,299.59,10.22,826,900,177,1
83.15,14819.62,209.5,15.62,530,505,402,1
49.24,1441.74,2.48,0.37,97,27,50,0
87.75,13219.63,488.17,40.41,493,324,547,1
74.21,13212.42,272.16,82.88,222,179,966,1
89.88,10895.56,25.59,79.61,524,368,489,1
54.02,4706.49,5.41,4.56,23,34,93,0
87.4,13791.39,31.06,66.64,224,680,121,1
2.46,1397.36,13.95,3.33,96,79,72,0
25.98,1217.6,6.74,0.24,33,95,92,0
26.55,975.55,1.54,0.02,92,41,50,0
57.65,900.78,11.5,3.99,99,41,37,0
84.85,15132.67,409.18,24.29,802,907,107,1
85.81,14420.98,191.06,89.11,307,931,263,1
63.52,3369.46,11.38,2.52,37,91,13,0
87.46,7390.5,64.46,61.06,312,301,732,1
70.44,8382.69,57.57,94.67,712,575,727,1
71.9,10210.11,70.64,17.82,854,927,356,1
35.56,3858.69,1.56,2.29,39,89,70,0
71.85,6447.66,112.88,90.58,693,596,771,1
21.04,4937.78,12.59,3.28,66,98,11,0
79.5,6591.31,370.23,16.61,649,261,319,1
75.49,6284.02,332.03,16.48,317,941,402,1
12.68,4406.14,9.02,0.1,43,9,19,0
57.22,5069.98,12.72,3.13,60,30,38,0
82.67,15996.46,456.82,58.61,209,782,913,1
52.36,3256.94,14.34,1.9,82,76,2,0
21.89,2177.25,10.42,3.59,98,15,4,0
70.17,15085.93,357.94,20.09,310,991,499,1
8.84,2680.46,5.2,2.23,25,49,96,0
81.4,8695.95,422.88,3.05,969,322,850,1
8.18,3094.95,11.06,2.09,26,73,34,0
64.54,2451.52,14.18,0.19,4,3,47,0
75.82,10288.59,498.13,36.72,142,315,938,1
84.45,8174.05,269.66,57.99,806,432,346,1
38.84,4251.64,3.61,2.85,70,98,96,0
84.81,11423.27,219.44,98.38,570,327,806,1
70.3,14802.36,278.48,3.13,504,624,423,1
1.49,1595.39,2.19,3.82,5,17,36,0
77.41,6031.85,28.58,30.74,367,557,351,1
10.38,3545.32,0.51,0.9,81,12,99,0
25.16,28.9,7.83,4.43,58,89,14,0
56.3,4039.42,10.85,2.04,66,77,39,0
87.21,14532.71,17.42,62.4,587,146,226,1
29.61,5917.34,12.51,2.16,24,50,84,0
89.3,8865.3,374.1,80.57,319,858,789,1
46.09,4116.92,7.94,3.42,0,82,52,0
5.7,4848.7,3.84,4.68,26,49,40,0
35.58,932.89,14.64,0.91,6,42,21,0
92.66,15334.22,471.39,66.56,822,648,219,1
3.7,2262.44,9.08,0.49,64,52,85,0
14.58,350.13,14.66,0.93,78,10,99,0
79.69,14935.71,397.61,64.46,575,755,408,1
57.03,1828.95,10.0,1.98,46,23,41,0
14.72,1258.19,4.03,0.1,39,41,35,0
31.04,505.69,12.11,0.67,4,54,92,0
87.65,7354.29,211.05,93.07,493,107,922,1
74.04,11184.0,449.63,21.18,930,278,317,1
69.52,5177.53,14.18,3.09,79,55,42,0
82.84,15131.44,113.27,57.96,731,317,412,1
87.3,9497.1,419.17,7.79,238,962,570,1
72.4,13782.65,156.41,64.16,889,580,800,1
90.64,15711.61,74.29,87.05,499,145,523,1
18.57,3411.11,6.13,3.21,23,60,20,0
11.18,5955.87,10.21,4.8,20,73,22,0
44.13,3996.38,3.12,2.5,23,39,48,0
66.44,1769.14,14.87,4.21,18,56,32,0
99.97,6525.82,360.83,14.42,451,493,139,1
14.05,204.67,8.79,1.07,41,15,8,0
1.27,3675.64,11.02,3.79,99,69,96,0
75.74,12061.52,413.1,88.86,511,869,627,1
91.99,6155.2,241.0,89.11,383,663,324,1
75.44,9660.12,285.11,16.43,826,920,686,1
81.53,9108.83,36.49,49.66,596,470,966,1
71.75,12001.17,346.01,83.85,272,475,741,1
88.37,12543.28,86.17,96.74,327,466,325,1
97.57,12061.13,37.07,82.45,184,834,783,1
89.99,7595.85,104.77,97.94,397,143,911,1
71.6,11951.73,169.09,94.07,150,414,644,1
63.57,2125.17,13.99,3.94,82,45,12,0
75.34,6275.51,416.57,84.99,580,354,847,1
72.28,7013.14,150.7,85.84,247,805,928,1
70.41,12086.04,336.32,29.57,866,132,337,1
40.7,3506.89,5.06,3.99,100,16,2,0
77.81,15758.74,104.55,63.78,508,560,857,1
37.27,269.05,0.12,2.96,96,88,29,0
16.38,3020.7,0.04,2.51,94,76,69,0
94.92,10525.78,250.49,78.1,601,529,891,1
79.96,7910.06,331.47,75.98,907,660,925,1
27.23,5119.12,11.83,3.05,36,79,34,0
82.36,13748.05,345.67,95.32,307,126,164,1
46.44,5380.85,2.95,1.16,18,90,23,0
21.78,3798.85,14.05,2.71,34,31,59,0
16.36,5845.07,8.98,1.75,82,53,78,0
13.05,4526.41,6.78,4.82,88,49,80,0
18.84,3231.65,10.12,1.69,92,47,40,0
73.54,11204.58,157.31,77.51,988,122,137,1
82.34,15847.72,63.01,49.07,412,889,343,1
80.14,12456.5,345.17,49.52,244,255,492,1
91.6,10899.14,492.82,8.85,746,311,653,1
91.3,10606.65,267.62,12.99,264,493,992,1
70.11,9022.54,358.88,7.75,360,928,509,1
26.35,4495.38,0.17,3.46,40,42,33,0
83.44,9120.93,399.14,71.57,367,198,764,1
95.4,13989.12,295.37,87.53,251,210,101,1
42.52,1190.28,5.55,1.7,2,92,5,0
95.05,14395.26,295.7,34.75,582,701,414,1
2.87,5310.33,8.54,4.85,14,9,88,0
77.82,6210.35,95.4,79.42,513,895,779,1
62.14,1338.69,7.14,1.34,30,30,83,0
0.49,1324.03,3.18,2.41,51,43,9,0
57.05,3531.35,6.24,3.2,78,80,66,0
63.21,3098.66,7.63,2.43,18,93,63,0
16.51,5531.8,0.08,0.72,9,8,59,0
77.67,11113.28,15.75,64.05,605,883,653,1
80.91,14933.0,206.08,53.49,822,562,329,1
53.48,4285.22,5.57,4.56,22,91,87,0
44.74,402.62,0.66,0.1,78,9,0,0
51.9,239.56,1.84,0.36,52,66,31,0
38.18,1728.68,11.27,1.76,35,48,64,0
71.78,14204.77,309.57,11.36,580,132,137,1
93.56,9558.0,53.09,98.03,350,403,953,1
11.08,947.11,4.37,1.43,40,91,5,0
71.85,11659.85,333.9,27.12,271,956,992,1
81.19,13234.58,300.73,59.71,469,447,695,1
11.51,4904.53,11.15,1.43,88,61,28,0
34.82,2419.67,7.97,3.29,21,16,12,0
71.26,7447.13,398.96,44.43,675,635,447,1
79.58,6945.57,469.55,85.4,452,781,433,1
19.41,2985.92,13.39,0.12,30,49,44,0
97.38,9624.23,372.25,31.99,614,994,277,1
30.0,3334.41,7.03,4.79,62,26,98,0
87.19,8098.83,325.06,80.44,717,767,687,1
5.57,2769.59,14.07,0.19,64,87,97,0
17.1,186.23,0.45,3.09,54,2,61,0
59.65,1591.89,6.15,4.65,44,63,98,0
79.01,9939.74,312.66,64.0,315,138,519,1
79.92,10247.93,333.79,84.24,418,889,322,1
96.77,8554.62,309.3,43.36,504,956,252,1
85.6,10723.09,108.84,7.04,950,645,982,1
82.27,8679.57,262.92,9.97,538,859,586,1
16.5,4364.72,11.71,1.76,20,43,12,0
29.46,2172.92,5.34,1.43,86,0,20,0
70.61,6953.36,165.06,65.33,942,911,268,1
28.3,4402.27,9.81,0.98,43,22,14,0
92.39,8365.27,187.1,40.03,591,352,366,1
48.65,1493.01,5.73,4.92,24,57,96,0
38.56,5476.1,7.44,1.89,30,12,84,0
92.96,15136.78,340.45,39.15,321,918,678,1
66.98,531.99,3.8,3.97,32,17,6,0
58.49,650.59,0.38,4.98,55,23,29,0
82.54,10758.47,188.81,59.4,839,226,722,1
63.57,1083.71,11.96,1.09,63,100,24,0
99.3,10986.61,296.66,73.94,912,113,636,1
9.29,2490.49,11.91,4.53,43,37,11,0
92.87,13542.51,190.09,44.09,554,734,978,1
81.1,11698.0,115.84,90.32,287,527,411,1
74.06,12029.48,68.53,52.06,674,995,664,1
32.05,4596.78,9.31,1.68,7,87,17,0
74.0,6253.6,110.47,62.93,527,930,599,1
66.6,1141.31,10.89,0.82,25,64,37,0
99.87,15561.74,264.6,49.75,585,350,389,1
74.58,7510.69,147.98,76.64,426,475,555,1
72.09,6723.64,487.5,13.39,533,515,223,1
99.24,13473.94,189.7,19.43,473,167,480,1
6.85,1046.56,6.4,3.66,57,66,97,0
